version,page,split,cer,wer,gt_chars,pred_chars
before,1,first,0.004539264639128461,0.021505376344086023,2203,2201
before,2,first,0.004206500956022944,0.049019607843137254,2615,2612
before,3,first,0.03877314814814815,0.0375,1728,1795
before,4,first,0.004672897196261682,0.02702702702702703,2354,2355
before,5,first,0.03707684040838259,0.07936507936507936,1861,1926
before,6,first,0.0,0.0,1338,1338
before,31,middle,0.3409282700421941,1.3647058823529412,1185,1589
before,32,middle,0.4668769716088328,1.3728813559322033,634,877
before,33,middle,0.0180623973727422,0.017241379310344827,609,618
before,34,middle,0.003083247687564234,0.012658227848101266,973,976
before,35,middle,0.2620904836193448,0.4788732394366197,641,588
before,36,middle,0.005366726296958855,0.03333333333333333,559,558
before,62,last,0.6335504885993485,1.1884057971014492,614,1003
before,63,last,0.7493472584856397,4.285714285714286,766,1340
before,64,last,0.15939730372720062,0.09900990099009901,1261,1460
before,65,last,0.003864734299516908,0.0111731843575419,1035,1039
before,66,last,0.11516314779270634,0.34375,521,473
before,67,last,0.96875,0.5,64,2
after,1,first,0.0,0.0,2203,2203
after,2,first,0.0,0.0,2615,2615
after,3,first,0.0,0.0,1728,1728
after,4,first,0.0,0.0,2354,2354
after,5,first,0.0,0.0,1861,1861
after,6,first,0.0,0.0,1338,1338
after,31,middle,0.0,0.0,1185,1185
after,32,middle,0.0,0.0,634,634
after,33,middle,0.0,0.0,609,609
after,34,middle,0.0,0.0,973,973
after,35,middle,0.0,0.0,641,641
after,36,middle,0.0,0.0,559,559
after,62,last,0.0,0.0,614,614
after,63,last,0.0,0.0,766,766
after,64,last,0.0,0.0,1261,1261
after,65,last,0.0,0.0,1035,1035
after,66,last,0.0,0.0,521,521
after,67,last,0.0,0.0,64,64
